timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1638530827833,89,GET_login_page_${thread_name},200,OK,admin_login_TG 1-1,text,true,,5288,128,1,2,http://192.168.64.2/login_page.php,89,0,9
1638530828169,90,GET_login_page_${thread_name},200,OK,admin_login_TG 1-2,text,true,,5288,128,2,4,http://192.168.64.2/login_page.php,90,0,8
1638530840173,91,GET_login_page_create_issue,200,OK,create_issue_TG 2-1,text,true,,5288,128,3,6,http://192.168.64.2/login_page.php,91,0,10
1638530842485,186,POST_login,200,OK,admin_login_TG 1-1,text,true,,5623,307,3,6,http://192.168.64.2/login_password_page.php,185,0,17
1638530842485,186,GET_login_page_create_issue,200,OK,create_issue_TG 2-2,text,true,,5288,128,3,6,http://192.168.64.2/login_page.php,186,0,19
1638530843039,76,POST_login,200,OK,create_issue_TG 2-1,text,true,,5622,307,3,6,http://192.168.64.2/login_password_page.php,76,0,0
1638530844090,96,POST_login,200,OK,admin_login_TG 1-2,text,true,,5623,307,3,6,http://192.168.64.2/login_password_page.php,96,0,8
1638530844675,190,POST_login_password_1,200,OK,admin_login_TG 1-1,text,true,,14271,930,3,6,http://192.168.64.2/account_page.php,72,0,0
1638530844675,72,POST_login_password_1-0,302,Found,admin_login_TG 1-1,text,true,,878,325,3,6,http://192.168.64.2/login.php,72,0,0
1638530844747,51,POST_login_password_1-1,302,Found,admin_login_TG 1-1,text,true,,677,317,3,6,http://192.168.64.2/login_cookie_test.php?return=account_page.php,51,0,0
1638530844798,67,POST_login_password_1-2,200,OK,admin_login_TG 1-1,text,true,,12716,288,3,6,http://192.168.64.2/account_page.php,64,0,0
1638530844866,249,GET_login_page_${thread_name},200,OK,admin_login_TG 1-1,text,true,,63501,855,3,6,http://192.168.64.2/my_view_page.php,65,0,0
1638530844866,65,GET_login_page_${thread_name}-0,302,Found,admin_login_TG 1-1,text,true,,5243,286,3,6,http://192.168.64.2/login_page.php,65,0,0
1638530844931,63,GET_login_page_${thread_name}-1,302,Found,admin_login_TG 1-1,text,true,,677,281,3,6,http://192.168.64.2/index.php,63,0,0
1638530844994,121,GET_login_page_${thread_name}-2,200,OK,admin_login_TG 1-1,text,true,,57581,288,3,6,http://192.168.64.2/my_view_page.php,120,0,0
1638530845116,234,POST_login,200,OK,admin_login_TG 1-1,text,true,,63896,988,3,6,http://192.168.64.2/my_view_page.php,66,0,0
1638530845116,66,POST_login-0,302,Found,admin_login_TG 1-1,text,true,,5646,419,3,6,http://192.168.64.2/login_password_page.php,66,0,0
1638530845182,56,POST_login-1,302,Found,admin_login_TG 1-1,text,true,,677,281,3,6,http://192.168.64.2/index.php,56,0,0
1638530845239,112,POST_login-2,200,OK,admin_login_TG 1-1,text,true,,57573,288,3,6,http://192.168.64.2/my_view_page.php,111,0,0
1638530845351,183,POST_login_password_1,200,OK,admin_login_TG 1-1,text,true,,14270,1042,3,6,http://192.168.64.2/account_page.php,61,0,0
1638530845351,61,POST_login_password_1-0,302,Found,admin_login_TG 1-1,text,true,,878,437,3,6,http://192.168.64.2/login.php,61,0,0
1638530845412,58,POST_login_password_1-1,302,Found,admin_login_TG 1-1,text,true,,677,317,3,6,http://192.168.64.2/login_cookie_test.php?return=account_page.php,58,0,0
